Strike,Ticker,Bid,Ask,Last,IVM,Volm
1040,AMZN 2/14/20 P1040,0,0.010000002,0.100000024,224.5743408,1
1340,AMZN 2/14/20 P1340,0.010000002,0.010000002,0.010000002,150.6884766,16
1500,AMZN 2/14/20 P1500,0.010000002,0.02,0.010000002,122.722168,213
1560,AMZN 2/14/20 P1560,0.010000002,0.030000001,0.030000001,114.237793,144
1600,AMZN 2/14/20 P1600,0.010000002,0.099999964,0.010000002,120.281517,17
1625,AMZN 2/14/20 P1625,0,0.100000024,0.039999999,124.4247665,20
1635,AMZN 2/14/20 P1635,0.009999998,0.030000001,0.030000001,99.04383087,11
1650,AMZN 2/14/20 P1650,0.030000001,0.039999999,0.030000001,102.8816986,109
1670,AMZN 2/14/20 P1670,0,0.470000029,0.310000002,145.3229675,2
1675,AMZN 2/14/20 P1675,0,0.470000029,0.100000024,143.8618469,10
1680,AMZN 2/14/20 P1680,0,0.470000029,0.540000021,142.4033356,2
1690,AMZN 2/14/20 P1690,0.02,0.039999999,0.02,92.71687317,4
1695,AMZN 2/14/20 P1695,0.02,0.039999999,0.02,91.70188141,53
1700,AMZN 2/14/20 P1700,0.02,0.069999993,0.02,95.53566742,224
1705,AMZN 2/14/20 P1705,0,0.480000019,0.150000036,135.6569061,1
1710,AMZN 2/14/20 P1710,0.010000002,0.220000029,0.039999999,106.452774,2
1715,AMZN 2/14/20 P1715,0,0.49000001,0.150000036,133.2541809,1
1725,AMZN 2/14/20 P1725,0.010000002,0.129999995,0.02,95.83128357,5
1730,AMZN 2/14/20 P1730,0,0.170000017,0.090000033,107.9499207,2
1735,AMZN 2/14/20 P1735,0.02,0.129999995,0.02,94.52813721,25
1740,AMZN 2/14/20 P1740,0.02,0.139999986,0.030000001,94.26955414,29
1745,AMZN 2/14/20 P1745,0,0.310000002,0.039999999,114.9679794,24
1750,AMZN 2/14/20 P1750,0.02,0.120000005,0.050000001,90.31351471,37
1755,AMZN 2/14/20 P1755,0,0.129999995,0.050000001,97.64677429,45
1760,AMZN 2/14/20 P1760,0.069999993,0.150000036,0.069999993,94.06851196,46
1770,AMZN 2/14/20 P1770,0.010000002,0.139999986,0.02,86.77410889,11
1775,AMZN 2/14/20 P1775,0.02,0.110000014,0.02,83.95695496,5
1790,AMZN 2/14/20 P1790,0.02,0.220000029,0.059999999,88.29143524,9
1795,AMZN 2/14/20 P1795,0.030000001,0.449999988,0.030000001,97.30375671,8
1800,AMZN 2/14/20 P1800,0.030000001,0.120000005,0.050000001,80.188797,148
1810,AMZN 2/14/20 P1810,0.050000001,0.150000036,0.050000001,81.37071228,15
1812.5,AMZN 2/14/20 P1812.5,0.010000002,0.370000005,0.090000033,89.31819153,3
1825,AMZN 2/14/20 P1825,0.050000001,0.149999976,0.079999983,77.98323822,7
1827.5,AMZN 2/14/20 P1827.5,0.129999995,0.220000029,0.129999995,84.48703766,1
1830,AMZN 2/14/20 P1830,0.030000001,0.170000017,0.050000001,76.85717773,28
1832.5,AMZN 2/14/20 P1832.5,0.010000002,0.24000001,0.139999986,78.94126129,2
1847.5,AMZN 2/14/20 P1847.5,0.009999998,0.189999998,0.199999988,72.91928864,1
1850,AMZN 2/14/20 P1850,0.039999999,0.25,0.100000024,76.66496277,46
1852.5,AMZN 2/14/20 P1852.5,0.050000001,0.189999998,0.050000001,73.83720398,1
1860,AMZN 2/14/20 P1860,0.030000001,0.180000007,0.120000005,70.63912201,83
1870,AMZN 2/14/20 P1870,0.050000001,0.170000017,0.050000001,68.87653351,125
1872.5,AMZN 2/14/20 P1872.5,0.030000001,0.189999998,0.100000024,68.30897522,4
1875,AMZN 2/14/20 P1875,0.059999999,0.189999998,0.110000014,69.11422729,4
1885,AMZN 2/14/20 P1885,0.079999983,0.150000036,0.079999983,65.93538666,116
1887.5,AMZN 2/14/20 P1887.5,0.050000001,0.139999986,0.050000001,63.4523735,1
1890,AMZN 2/14/20 P1890,0.02,0.209999979,0.079999983,64.79502869,40
1895,AMZN 2/14/20 P1895,0.050000001,0.150000036,0.199999988,62.28012085,1
1897.5,AMZN 2/14/20 P1897.5,0.010000002,0.209999979,0.100000024,62.64827347,1
1900,AMZN 2/14/20 P1900,0.059999999,0.189999998,0.120000005,63.35552216,237
1902.5,AMZN 2/14/20 P1902.5,0.039999999,0.220000029,0.069999993,63.17636871,1
1905,AMZN 2/14/20 P1905,0.059999999,0.220000029,0.100000024,63.3546524,1
1910,AMZN 2/14/20 P1910,0.02,0.220000029,0.100000024,60.65111542,27
1915,AMZN 2/14/20 P1915,0.010000002,0.220000029,0.100000024,59.1019516,23
1917.5,AMZN 2/14/20 P1917.5,0.010000002,0.24000001,0.069999993,59.32491684,15
1920,AMZN 2/14/20 P1920,0.050000001,0.180000007,0.100000024,57.96532822,12
1922.5,AMZN 2/14/20 P1922.5,0.010000002,0.230000019,0.069999993,57.78989792,18
1925,AMZN 2/14/20 P1925,0.02,0.230000019,0.160000026,57.5963707,44
1927.5,AMZN 2/14/20 P1927.5,0.02,0.300000012,0.150000036,59.39940262,7
1930,AMZN 2/14/20 P1930,0.050000001,0.300000012,0.139999986,59.70498657,11
1932.5,AMZN 2/14/20 P1932.5,0.02,0.310000002,0.180000007,58.51294708,5
1935,AMZN 2/14/20 P1935,0.02,0.310000002,0.110000014,57.91362,37
1940,AMZN 2/14/20 P1940,0.100000024,0.330000043,0.199999988,59.38427353,22
1945,AMZN 2/14/20 P1945,0.100000024,0.319999993,0.209999979,57.89749527,3
1950,AMZN 2/14/20 P1950,0.100000024,0.340000033,0.25,57.12396622,344
1955,AMZN 2/14/20 P1955,0.010000002,0.349999964,0.150000036,53.92314148,38
1960,AMZN 2/14/20 P1960,0.050000001,0.340000033,0.189999998,53.4513855,67
1965,AMZN 2/14/20 P1965,0.050000001,0.300000012,0.170000017,51.23326111,14
1970,AMZN 2/14/20 P1970,0.100000024,0.300000012,0.100000024,51.21547318,117
1975,AMZN 2/14/20 P1975,0.010000002,0.300000012,0.180000007,47.77467346,58
1980,AMZN 2/14/20 P1980,0.079999983,0.330000043,0.199999988,48.95103073,122
1985,AMZN 2/14/20 P1985,0.02,0.310000002,0.350000024,45.87872314,21
1990,AMZN 2/14/20 P1990,0.120000005,0.310000002,0.220000029,46.85626984,75
1995,AMZN 2/14/20 P1995,0.180000007,0.310000002,0.350000024,46.72160721,35
2000,AMZN 2/14/20 P2000,0.330000043,0.360000014,0.300000012,48.56882095,668
2005,AMZN 2/14/20 P2005,0.25,0.360000014,0.25,46.05618286,183
2007.5,AMZN 2/14/20 P2007.5,0.230000019,0.379999995,0.389999986,45.38358688,15
2010,AMZN 2/14/20 P2010,0.24000001,0.379999995,0.379999995,44.85578918,164
