Strike,Ticker,Bid,Ask,Last,IVM,Volm
1000,AMZN 2/14/20 C1000,1147.900146,1151.900146,1151,458.5158081,70
1280,AMZN 2/14/20 C1280,865.9000244,870.8499756,872.0500488,0,4
1650,AMZN 2/14/20 C1650,495.1499939,501.3000488,498.0800781,0,1
1675,AMZN 2/14/20 C1675,470.8500061,475.9500122,466.4399414,0,1
1715,AMZN 2/14/20 C1715,430.8999939,436.8500061,445.8701172,121.1682281,2
1720,AMZN 2/14/20 C1720,426,431.7999878,437.9499512,121.5302277,1
1820,AMZN 2/14/20 C1820,325.9500122,331.1499939,346.5,0,1
1840,AMZN 2/14/20 C1840,305.5499878,310.6499939,319.1799316,0,1
1847.5,AMZN 2/14/20 C1847.5,298.0499878,303,300,0,1
1850,AMZN 2/14/20 C1850,297.25,299.7999878,304.5200195,0,13
1860,AMZN 2/14/20 C1860,285.4500122,290.6499939,300,0,1
1870,AMZN 2/14/20 C1870,277.5,279.7999878,289.9699707,61.35693741,22
1875,AMZN 2/14/20 C1875,273.0998535,274.3999023,278.7700195,71.1588974,1
1880,AMZN 2/14/20 C1880,268.5498047,271.25,273.2399902,105.8164749,1
1900,AMZN 2/14/20 C1900,247.6000061,249.3999939,249.5700073,0,12
1915,AMZN 2/14/20 C1915,231.75,235.9499969,246,67.28502655,1
1917.5,AMZN 2/14/20 C1917.5,228.0500031,233.25,241.0200043,0,1
1925,AMZN 2/14/20 C1925,220.3999939,226.1999969,233.7799988,0,1
1930,AMZN 2/14/20 C1930,218,220.9499969,229.6000061,81.44311523,10
1932.5,AMZN 2/14/20 C1932.5,213.1999969,217.8999939,218.6999969,0,5
1940,AMZN 2/14/20 C1940,208.0500031,209.1499939,223.5,0,1
1950,AMZN 2/14/20 C1950,198,200.6000061,210.8699951,71.58576202,17
1960,AMZN 2/14/20 C1960,188.1000061,189.1999969,198.25,42.38684082,4
1965,AMZN 2/14/20 C1965,180.8000031,185.8000031,189.6900024,0,1
1970,AMZN 2/14/20 C1970,178.0500031,179.1999969,193.1900024,36.05590439,1
1980,AMZN 2/14/20 C1980,167.8999939,170.8999939,179.7799988,64.38308716,13
1985,AMZN 2/14/20 C1985,165.1000061,165.8999939,177.5700073,77.76741028,1
1990,AMZN 2/14/20 C1990,158.1499939,160.9499969,165.3600006,63.75252914,5
1995,AMZN 2/14/20 C1995,153.1499939,155.9499969,150,62.12950516,1
2000,AMZN 2/14/20 C2000,148.1499939,149.5,150.4799957,44.49099731,83
2005,AMZN 2/14/20 C2005,143.1499939,145.1999969,143.4799957,52.43143845,2
2010,AMZN 2/14/20 C2010,138.3000031,139.3500061,150.1300049,41.92222595,24
2015,AMZN 2/14/20 C2015,133.6999969,134.3500061,143.0800018,46.26847076,3
2020,AMZN 2/14/20 C2020,128.8000031,130.5,134.9600067,55.30310059,6
2025,AMZN 2/14/20 C2025,123.3000031,124.3999939,123.6699982,38.85767746,4
2030,AMZN 2/14/20 C2030,118.6999969,119.4499969,118.6699982,43.00248337,33
2035,AMZN 2/14/20 C2035,113,114.4499969,116.8200073,31.61726379,9
2037.5,AMZN 2/14/20 C2037.5,110.9499969,111.9499969,111.8500061,38.1399498,3
2040,AMZN 2/14/20 C2040,108.3000031,109.6500092,109.1000061,38.00270844,69
2045,AMZN 2/14/20 C2045,103.25,104.5,115.6500092,34.2178154,60
2047.5,AMZN 2/14/20 C2047.5,100.9499969,102,107.5899963,35.85523224,9
2050,AMZN 2/14/20 C2050,97.94999695,99.55000305,99.13999939,29.02778816,418
2052.5,AMZN 2/14/20 C2052.5,96,97.30000305,101.8300018,37.56931305,1
2055,AMZN 2/14/20 C2055,93.5,94.55000305,104.730011,34.65711975,9
2057.5,AMZN 2/14/20 C2057.5,90.94999695,92.44999695,99.75,36.78636551,5
2060,AMZN 2/14/20 C2060,88.44999695,89.80000305,90.43000793,34.85280991,24
2062.5,AMZN 2/14/20 C2062.5,86.05000305,87.55000305,94.96000671,36.57081223,3
2065,AMZN 2/14/20 C2065,83.59999084,84.8500061,95.25,34.74985886,10
2067.5,AMZN 2/14/20 C2067.5,81.1499939,82.15000916,91.19999695,32.88520813,6
2070,AMZN 2/14/20 C2070,78.69999695,79.6499939,85.27999878,32.44950867,15
2072.5,AMZN 2/14/20 C2072.5,75.69999695,77.19999695,85.16999817,28.10752296,6
2075,AMZN 2/14/20 C2075,73.59999084,75,77.3500061,32.42414474,17
2077.5,AMZN 2/14/20 C2077.5,71.25,72.19999695,82.57000732,30.67560387,3
2080,AMZN 2/14/20 C2080,68.80000305,69.75,69.8500061,30.44533539,77
2085,AMZN 2/14/20 C2085,63.69999695,64.75,64.86000061,28.18194771,10
2090,AMZN 2/14/20 C2090,58.84999084,59.80000305,59.90000916,27.57299232,94
2095,AMZN 2/14/20 C2095,53.94999695,54.8500061,56.02999878,26.53026199,20
2100,AMZN 2/14/20 C2100,48.94999695,49.94999695,49.41999817,25.14801979,779
2105,AMZN 2/14/20 C2105,44.15000916,45.15000916,44.1000061,24.81981087,92
2110,AMZN 2/14/20 C2110,39.3500061,40.25,39.77999878,23.81755447,65
