Strike,Ticker,Bid,Ask,Last,IVM,Volm
1890,AMZN 4/17/20 C1890,260.5,262.75,259.3500061,25.20581627,2
1895,AMZN 4/17/20 C1895,255.5,258.6999512,272.5,25.14210892,1
1900,AMZN 4/17/20 C1900,250.9499969,254.3000031,252,25.10993767,113
1905,AMZN 4/17/20 C1905,247.5500031,251.8999939,246.8500061,24.37232018,2
1910,AMZN 4/17/20 C1910,242.25,244.6000061,240.8800049,24.4743309,3
1915,AMZN 4/17/20 C1915,238.0500031,243.1000061,236.5200043,23.99912643,2
1925,AMZN 4/17/20 C1925,228.8500061,232.9499969,229.25,24.04034233,2
1960,AMZN 4/17/20 C1960,199.5,203.4499969,201.25,23.93238258,1
1980,AMZN 4/17/20 C1980,182.6000061,186.25,185.3600006,23.89707565,18
2000,AMZN 4/17/20 C2000,167.6499939,171.8999939,168.3500061,23.22487068,43
2010,AMZN 4/17/20 C2010,160.75,162.4499969,161.4299927,23.32539177,3
2020,AMZN 4/17/20 C2020,153.1999969,154.6499939,165.9499969,23.11407471,1
2030,AMZN 4/17/20 C2030,146,147.5,146,23.05244637,1
2040,AMZN 4/17/20 C2040,138.9499969,140.4499969,139.6499939,23.02851868,2
2050,AMZN 4/17/20 C2050,132.25,133.5,132.9400024,22.92206192,14
2060,AMZN 4/17/20 C2060,125.5999908,126.8000031,124.9199982,22.86134338,7
2070,AMZN 4/17/20 C2070,119.1500092,120.25,118.5199966,22.79608154,15
2080,AMZN 4/17/20 C2080,112.8000031,114,113.4199982,22.72789383,5
2090,AMZN 4/17/20 C2090,106.5500031,107.8000031,106.4599991,22.64115334,1
2100,AMZN 4/17/20 C2100,100.75,102.25,101,22.65249252,67
2110,AMZN 4/17/20 C2110,95.3500061,96.25,100.3799973,22.59179878,2
2120,AMZN 4/17/20 C2120,89.75,91,90.34999847,22.53958893,33
2130,AMZN 4/17/20 C2130,84.44999695,85.55000305,85.44000244,22.49528503,52
2140,AMZN 4/17/20 C2140,79.55000305,80.59999084,78.63999939,22.49357224,56
2150,AMZN 4/17/20 C2150,74.69999695,75.69999695,75.16999817,22.44095993,160
2160,AMZN 4/17/20 C2160,70,70.94999695,70.62999725,22.3823204,62
2170,AMZN 4/17/20 C2170,65.6000061,66.55000305,65.66999817,22.34624481,66
2180,AMZN 4/17/20 C2180,61.3500061,62.30000305,62.40000153,22.31982803,110
2190,AMZN 4/17/20 C2190,57.40000916,58.25,57.52000046,22.28872871,10
2200,AMZN 4/17/20 C2200,53.55000305,54.44999695,53.5,22.29600525,357
2210,AMZN 4/17/20 C2210,50.05000305,50.8500061,50.36999893,22.29634476,9
2220,AMZN 4/17/20 C2220,46.6000061,47.44999695,46.81999969,22.29844475,24
2230,AMZN 4/17/20 C2230,43.3500061,44.25,44.70000076,22.29488945,21
2240,AMZN 4/17/20 C2240,40.30000305,41.15000916,41.15000153,22.26902962,46
2250,AMZN 4/17/20 C2250,37.55000305,38.25,37.88000107,22.29187012,80
2260,AMZN 4/17/20 C2260,34.80000305,35.55000305,35.27999878,22.29733658,24
2270,AMZN 4/17/20 C2270,32.19999695,33,32.81999969,22.27522469,20
2280,AMZN 4/17/20 C2280,30,30.6499939,30.90999985,22.32923126,27
2290,AMZN 4/17/20 C2290,27.75,28.44999695,28.45000076,22.31753159,5
2300,AMZN 4/17/20 C2300,25.55000305,26.3500061,26.19999695,22.35489273,3
2400,AMZN 4/17/20 C2400,12.14999962,12.60000038,12.39999962,23.11224174,271
2500,AMZN 4/17/20 C2500,6.5,6.75,6.5,24.59038554,2
2600,AMZN 4/17/20 C2600,3.75,4.150000572,4,26.36413389,480
2700,AMZN 4/17/20 C2700,2.539999962,2.949999809,2.900000095,28.59031296,987
2800,AMZN 4/17/20 C2800,1.81000042,2,1.850000024,30.47389984,195
2900,AMZN 4/17/20 C2900,1.279999733,1.600000381,1.389999986,32.48993301,197
