,Stock,Contract,Type,Underlying,Strike,Expiration,TTM,OI,Volume,Bid,Ask,Price,Moneyness
0,AMZN,AMZN200619C00720000,c,1932.5763,720.0,2020-06-19,0.28838762049720956,0,1.0,1218.35,1221.8,1220.0749999999998,1212.5763
1,AMZN,AMZN200619C00740000,c,1932.5763,740.0,2020-06-19,0.28838762049720956,47,0.0,1201.6,1208.15,1204.875,1192.5763
2,AMZN,AMZN200619C00750000,c,1932.5763,750.0,2020-06-19,0.28838762049720956,0,,1191.55,1197.95,1194.75,1182.5763
3,AMZN,AMZN200619C00760000,c,1932.5763,760.0,2020-06-19,0.28838762049720956,2,1.0,1319.0,1329.0,1324.0,1172.5763
4,AMZN,AMZN200619C00770000,c,1932.5763,770.0,2020-06-19,0.28838762049720956,0,,1170.6,1176.8,1173.6999999999998,1162.5763
5,AMZN,AMZN200619C00780000,c,1932.5763,780.0,2020-06-19,0.28838762049720956,0,2.0,1159.25,1165.4,1162.325,1152.5763
6,AMZN,AMZN200619C00800000,c,1932.5763,800.0,2020-06-19,0.28838762049720956,0,4.0,1138.25,1144.35,1141.3,1132.5763
7,AMZN,AMZN200619C00860000,c,1932.5763,860.0,2020-06-19,0.28838762049720956,0,59.0,1078.25,1086.25,1082.25,1072.5763
8,AMZN,AMZN200619C00880000,c,1932.5763,880.0,2020-06-19,0.28838762049720956,0,1.0,1059.4,1067.4,1063.4,1052.5763
9,AMZN,AMZN200619C00900000,c,1932.5763,900.0,2020-06-19,0.28838762049720956,0,1.0,1038.8,1046.8,1042.8,1032.5763
10,AMZN,AMZN200619C00920000,c,1932.5763,920.0,2020-06-19,0.28838762049720956,7,4.0,1244.75,1249.6,1247.175,1012.5763
11,AMZN,AMZN200619C00930000,c,1932.5763,930.0,2020-06-19,0.28838762049720956,4,4.0,996.5,1015.75,1006.125,1002.5763
12,AMZN,AMZN200619C00940000,c,1932.5763,940.0,2020-06-19,0.28838762049720956,0,1.0,1003.5,1012.25,1007.875,992.5763
13,AMZN,AMZN200619C00950000,c,1932.5763,950.0,2020-06-19,0.28838762049720956,0,,996.55,1004.55,1000.55,982.5763
14,AMZN,AMZN200619C00960000,c,1932.5763,960.0,2020-06-19,0.28838762049720956,3,3.0,991.0,1000.65,995.825,972.5763
15,AMZN,AMZN200619C00970000,c,1932.5763,970.0,2020-06-19,0.28838762049720956,11,10.0,790.65,795.55,793.0999999999999,962.5763
16,AMZN,AMZN200619C00980000,c,1932.5763,980.0,2020-06-19,0.28838762049720956,0,2.0,960.95,969.0,964.975,952.5763
17,AMZN,AMZN200619C00990000,c,1932.5763,990.0,2020-06-19,0.28838762049720956,0,,950.3,958.25,954.275,942.5763
18,AMZN,AMZN200619C01000000,c,1932.5763,1000.0,2020-06-19,0.28838762049720956,0,1.0,940.45,948.45,944.45,932.5763
19,AMZN,AMZN200619C01010000,c,1932.5763,1010.0,2020-06-19,0.28838762049720956,29,2.0,736.0,746.0,741.0,922.5763
20,AMZN,AMZN200619C01020000,c,1932.5763,1020.0,2020-06-19,0.28838762049720956,13,2.0,761.1,764.45,762.7750000000001,912.5763
21,AMZN,AMZN200619C01040000,c,1932.5763,1040.0,2020-06-19,0.28838762049720956,0,1.0,901.2,909.2,905.2,892.5763
22,AMZN,AMZN200619C01060000,c,1932.5763,1060.0,2020-06-19,0.28838762049720956,12,5.0,747.65,766.15,756.9,872.5763
23,AMZN,AMZN200619C01080000,c,1932.5763,1080.0,2020-06-19,0.28838762049720956,6,0.0,877.5,886.9,882.2,852.5763
24,AMZN,AMZN200619C01100000,c,1932.5763,1100.0,2020-06-19,0.28838762049720956,0,1.0,847.05,856.9,851.9749999999999,832.5763
25,AMZN,AMZN200619C01120000,c,1932.5763,1120.0,2020-06-19,0.28838762049720956,0,2.0,822.6,830.5,826.55,812.5763
