,Stock,Contract,Type,Underlying,Strike,Expiration,TTM,OI,Volume,Bid,Ask,Price,Moneyness
0,AMZN,AMZN200515C01400000,c,1932.5763,1400.0,2020-05-15,0.19249720953830543,0.0,1.0,551.35,558.65,555.0,532.5763
1,AMZN,AMZN200515C01480000,c,1932.5763,1480.0,2020-05-15,0.19249720953830543,0.0,2.0,475.6,482.35,478.975,452.57629999999995
2,AMZN,AMZN200515C01500000,c,1932.5763,1500.0,2020-05-15,0.19249720953830543,0.0,3.0,456.95,463.45,460.2,432.57629999999995
3,AMZN,AMZN200515C01520000,c,1932.5763,1520.0,2020-05-15,0.19249720953830543,0.0,,439.2,445.9,442.54999999999995,412.57629999999995
4,AMZN,AMZN200515C01540000,c,1932.5763,1540.0,2020-05-15,0.19249720953830543,0.0,,421.25,429.2,425.225,392.57629999999995
5,AMZN,AMZN200515C01560000,c,1932.5763,1560.0,2020-05-15,0.19249720953830543,0.0,12.0,403.8,409.4,406.6,372.57629999999995
6,AMZN,AMZN200515C01600000,c,1932.5763,1600.0,2020-05-15,0.19249720953830543,0.0,1.0,372.8,380.0,376.4,332.57629999999995
7,AMZN,AMZN200515C01620000,c,1932.5763,1620.0,2020-05-15,0.19249720953830543,0.0,3.0,355.15,362.05,358.6,312.57629999999995
8,AMZN,AMZN200515C01640000,c,1932.5763,1640.0,2020-05-15,0.19249720953830543,0.0,2.0,338.55,345.65,342.1,292.57629999999995
9,AMZN,AMZN200515C01660000,c,1932.5763,1660.0,2020-05-15,0.19249720953830543,0.0,4.0,321.55,328.15,324.85,272.57629999999995
10,AMZN,AMZN200515C01680000,c,1932.5763,1680.0,2020-05-15,0.19249720953830543,0.0,1.0,306.9,312.0,309.45,252.57629999999995
11,AMZN,AMZN200515C01700000,c,1932.5763,1700.0,2020-05-15,0.19249720953830543,0.0,1.0,287.55,292.0,289.775,232.57629999999995
12,AMZN,AMZN200515C01720000,c,1932.5763,1720.0,2020-05-15,0.19249720953830543,0.0,1.0,271.45,276.0,273.725,212.57629999999995
13,AMZN,AMZN200515C01740000,c,1932.5763,1740.0,2020-05-15,0.19249720953830543,0.0,1.0,257.4,262.25,259.825,192.57629999999995
14,AMZN,AMZN200515C01760000,c,1932.5763,1760.0,2020-05-15,0.19249720953830543,0.0,5.0,242.3,245.25,243.775,172.57629999999995
15,AMZN,AMZN200515C01780000,c,1932.5763,1780.0,2020-05-15,0.19249720953830543,,,0.0,0.0,0.0,152.57629999999995
16,AMZN,AMZN200515C01800000,c,1932.5763,1800.0,2020-05-15,0.19249720953830543,0.0,25.0,214.95,219.1,217.02499999999998,132.57629999999995
17,AMZN,AMZN200515C01820000,c,1932.5763,1820.0,2020-05-15,0.19249720953830543,0.0,1.0,201.8,205.4,203.60000000000002,112.57629999999995
18,AMZN,AMZN200515C01840000,c,1932.5763,1840.0,2020-05-15,0.19249720953830543,0.0,16.0,187.2,190.7,188.95,92.57629999999995
19,AMZN,AMZN200515C01860000,c,1932.5763,1860.0,2020-05-15,0.19249720953830543,0.0,2.0,174.85,177.95,176.39999999999998,72.57629999999995
20,AMZN,AMZN200515C01880000,c,1932.5763,1880.0,2020-05-15,0.19249720953830543,0.0,1.0,161.55,165.85,163.7,52.57629999999995
21,AMZN,AMZN200515C01900000,c,1932.5763,1900.0,2020-05-15,0.19249720953830543,0.0,35.0,148.0,149.65,148.825,32.57629999999995
22,AMZN,AMZN200515C01920000,c,1932.5763,1920.0,2020-05-15,0.19249720953830543,0.0,5.0,137.05,138.6,137.825,12.576299999999947
23,AMZN,AMZN200515C01940000,c,1932.5763,1940.0,2020-05-15,0.19249720953830543,0.0,62.0,126.75,128.2,127.475,7.4237000000000535
24,AMZN,AMZN200515C01960000,c,1932.5763,1960.0,2020-05-15,0.19249720953830543,0.0,19.0,116.75,118.3,117.525,27.423700000000053
25,AMZN,AMZN200515C01980000,c,1932.5763,1980.0,2020-05-15,0.19249720953830543,0.0,10.0,104.3,105.7,105.0,47.42370000000005
26,AMZN,AMZN200515C02000000,c,1932.5763,2000.0,2020-05-15,0.19249720953830543,0.0,466.0,95.0,96.25,95.625,67.42370000000005
27,AMZN,AMZN200515C02010000,c,1932.5763,2010.0,2020-05-15,0.19249720953830543,0.0,5.0,92.45,93.55,93.0,77.42370000000005
28,AMZN,AMZN200515C02020000,c,1932.5763,2020.0,2020-05-15,0.19249720953830543,0.0,10.0,86.7,87.55,87.125,87.42370000000005
29,AMZN,AMZN200515C02030000,c,1932.5763,2030.0,2020-05-15,0.19249720953830543,0.0,58.0,82.8,84.0,83.4,97.42370000000005
30,AMZN,AMZN200515C02040000,c,1932.5763,2040.0,2020-05-15,0.19249720953830543,0.0,86.0,78.85,79.7,79.275,107.42370000000005
31,AMZN,AMZN200515C02050000,c,1932.5763,2050.0,2020-05-15,0.19249720953830543,0.0,11.0,73.75,74.9,74.325,117.42370000000005
32,AMZN,AMZN200515C02060000,c,1932.5763,2060.0,2020-05-15,0.19249720953830543,0.0,21.0,71.1,72.05,71.57499999999999,127.42370000000005
33,AMZN,AMZN200515C02070000,c,1932.5763,2070.0,2020-05-15,0.19249720953830543,0.0,14.0,65.6,67.05,66.32499999999999,137.42370000000005
34,AMZN,AMZN200515C02080000,c,1932.5763,2080.0,2020-05-15,0.19249720953830543,0.0,9.0,61.95,64.2,63.075,147.42370000000005
35,AMZN,AMZN200515C02090000,c,1932.5763,2090.0,2020-05-15,0.19249720953830543,0.0,1.0,58.55,60.15,59.349999999999994,157.42370000000005
36,AMZN,AMZN200515C02100000,c,1932.5763,2100.0,2020-05-15,0.19249720953830543,0.0,19.0,55.55,57.05,56.3,167.42370000000005
37,AMZN,AMZN200515C02110000,c,1932.5763,2110.0,2020-05-15,0.19249720953830543,0.0,1.0,52.05,53.9,52.974999999999994,177.42370000000005
38,AMZN,AMZN200515C02120000,c,1932.5763,2120.0,2020-05-15,0.19249720953830543,0.0,14.0,50.05,51.5,50.775,187.42370000000005
39,AMZN,AMZN200515C02130000,c,1932.5763,2130.0,2020-05-15,0.19249720953830543,0.0,3.0,46.0,47.85,46.925,197.42370000000005
40,AMZN,AMZN200515C02140000,c,1932.5763,2140.0,2020-05-15,0.19249720953830543,0.0,1.0,43.5,44.95,44.225,207.42370000000005
41,AMZN,AMZN200515C02150000,c,1932.5763,2150.0,2020-05-15,0.19249720953830543,0.0,6.0,40.6,42.1,41.35,217.42370000000005
42,AMZN,AMZN200515C02160000,c,1932.5763,2160.0,2020-05-15,0.19249720953830543,0.0,15.0,38.1,39.7,38.900000000000006,227.42370000000005
43,AMZN,AMZN200515C02170000,c,1932.5763,2170.0,2020-05-15,0.19249720953830543,0.0,3.0,35.65,37.25,36.45,237.42370000000005
44,AMZN,AMZN200515C02180000,c,1932.5763,2180.0,2020-05-15,0.19249720953830543,0.0,4.0,33.35,34.9,34.125,247.42370000000005
45,AMZN,AMZN200515C02190000,c,1932.5763,2190.0,2020-05-15,0.19249720953830543,0.0,2.0,31.6,32.95,32.275000000000006,257.42370000000005
46,AMZN,AMZN200515C02200000,c,1932.5763,2200.0,2020-05-15,0.19249720953830543,0.0,259.0,29.95,31.3,30.625,267.42370000000005
47,AMZN,AMZN200515C02210000,c,1932.5763,2210.0,2020-05-15,0.19249720953830543,0.0,1.0,27.6,29.1,28.35,277.42370000000005
48,AMZN,AMZN200515C02220000,c,1932.5763,2220.0,2020-05-15,0.19249720953830543,0.0,5.0,25.95,26.85,26.4,287.42370000000005
49,AMZN,AMZN200515C02230000,c,1932.5763,2230.0,2020-05-15,0.19249720953830543,0.0,25.0,23.9,25.2,24.549999999999997,297.42370000000005
50,AMZN,AMZN200515C02240000,c,1932.5763,2240.0,2020-05-15,0.19249720953830543,0.0,2.0,21.95,23.3,22.625,307.42370000000005
51,AMZN,AMZN200515C02250000,c,1932.5763,2250.0,2020-05-15,0.19249720953830543,0.0,48.0,20.9,22.15,21.525,317.42370000000005
52,AMZN,AMZN200515C02260000,c,1932.5763,2260.0,2020-05-15,0.19249720953830543,0.0,1.0,18.85,20.2,19.525,327.42370000000005
53,AMZN,AMZN200515C02270000,c,1932.5763,2270.0,2020-05-15,0.19249720953830543,0.0,5.0,17.9,19.05,18.475,337.42370000000005
54,AMZN,AMZN200515C02280000,c,1932.5763,2280.0,2020-05-15,0.19249720953830543,0.0,1.0,16.3,17.5,16.9,347.42370000000005
55,AMZN,AMZN200515C02290000,c,1932.5763,2290.0,2020-05-15,0.19249720953830543,0.0,4.0,15.5,16.5,16.0,357.42370000000005
56,AMZN,AMZN200515C02300000,c,1932.5763,2300.0,2020-05-15,0.19249720953830543,0.0,16.0,14.15,15.35,14.75,367.42370000000005
57,AMZN,AMZN200515C02320000,c,1932.5763,2320.0,2020-05-15,0.19249720953830543,0.0,11.0,11.9,13.05,12.475000000000001,387.42370000000005
