,Stock,Contract,Type,Underlying,Strike,Expiration,TTM,OI,Volume,Bid,Ask,Price,Moneyness
0,AMZN,AMZN200515P01020000,p,1932.5763,1020.0,2020-05-15,0.19249720953830543,13.0,,1.44,2.58,2.01,912.5763
1,AMZN,AMZN200515P01040000,p,1932.5763,1040.0,2020-05-15,0.19249720953830543,,,0.0,0.0,0.0,892.5763
2,AMZN,AMZN200515P01140000,p,1932.5763,1140.0,2020-05-15,0.19249720953830543,3.0,1.0,3.55,4.3,3.925,792.5763
3,AMZN,AMZN200515P01160000,p,1932.5763,1160.0,2020-05-15,0.19249720953830543,,,0.0,0.0,0.0,772.5763
4,AMZN,AMZN200515P01180000,p,1932.5763,1180.0,2020-05-15,0.19249720953830543,22.0,,4.05,4.7,4.375,752.5763
5,AMZN,AMZN200515P01200000,p,1932.5763,1200.0,2020-05-15,0.19249720953830543,54.0,,4.75,5.55,5.15,732.5763
6,AMZN,AMZN200515P01220000,p,1932.5763,1220.0,2020-05-15,0.19249720953830543,86.0,10.0,5.35,5.85,5.6,712.5763
7,AMZN,AMZN200515P01240000,p,1932.5763,1240.0,2020-05-15,0.19249720953830543,7.0,1.0,5.85,6.25,6.05,692.5763
8,AMZN,AMZN200515P01260000,p,1932.5763,1260.0,2020-05-15,0.19249720953830543,1.0,,6.4,7.0,6.7,672.5763
9,AMZN,AMZN200515P01280000,p,1932.5763,1280.0,2020-05-15,0.19249720953830543,25.0,,7.05,7.6,7.324999999999999,652.5763
10,AMZN,AMZN200515P01300000,p,1932.5763,1300.0,2020-05-15,0.19249720953830543,14.0,4.0,7.65,8.3,7.9750000000000005,632.5763
11,AMZN,AMZN200515P01320000,p,1932.5763,1320.0,2020-05-15,0.19249720953830543,55.0,17.0,8.4,9.1,8.75,612.5763
12,AMZN,AMZN200515P01340000,p,1932.5763,1340.0,2020-05-15,0.19249720953830543,24.0,6.0,9.4,9.95,9.675,592.5763
13,AMZN,AMZN200515P01360000,p,1932.5763,1360.0,2020-05-15,0.19249720953830543,15.0,13.0,10.0,10.6,10.3,572.5763
14,AMZN,AMZN200515P01380000,p,1932.5763,1380.0,2020-05-15,0.19249720953830543,23.0,11.0,11.3,11.8,11.55,552.5763
15,AMZN,AMZN200515P01400000,p,1932.5763,1400.0,2020-05-15,0.19249720953830543,90.0,10.0,12.3,12.75,12.525,532.5763
16,AMZN,AMZN200515P01420000,p,1932.5763,1420.0,2020-05-15,0.19249720953830543,25.0,7.0,13.5,14.1,13.8,512.5763
17,AMZN,AMZN200515P01440000,p,1932.5763,1440.0,2020-05-15,0.19249720953830543,12.0,6.0,14.85,15.3,15.075,492.57629999999995
18,AMZN,AMZN200515P01460000,p,1932.5763,1460.0,2020-05-15,0.19249720953830543,81.0,5.0,16.2,16.7,16.45,472.57629999999995
19,AMZN,AMZN200515P01480000,p,1932.5763,1480.0,2020-05-15,0.19249720953830543,52.0,8.0,17.75,18.3,18.025,452.57629999999995
20,AMZN,AMZN200515P01500000,p,1932.5763,1500.0,2020-05-15,0.19249720953830543,95.0,1.0,18.4,19.4,18.9,432.57629999999995
21,AMZN,AMZN200515P01520000,p,1932.5763,1520.0,2020-05-15,0.19249720953830543,70.0,2.0,21.25,21.85,21.55,412.57629999999995
22,AMZN,AMZN200515P01540000,p,1932.5763,1540.0,2020-05-15,0.19249720953830543,127.0,5.0,23.35,23.9,23.625,392.57629999999995
23,AMZN,AMZN200515P01560000,p,1932.5763,1560.0,2020-05-15,0.19249720953830543,91.0,1.0,25.55,26.35,25.950000000000003,372.57629999999995
24,AMZN,AMZN200515P01580000,p,1932.5763,1580.0,2020-05-15,0.19249720953830543,73.0,1.0,27.95,28.7,28.325,352.57629999999995
25,AMZN,AMZN200515P01600000,p,1932.5763,1600.0,2020-05-15,0.19249720953830543,120.0,9.0,30.45,31.35,30.9,332.57629999999995
26,AMZN,AMZN200515P01620000,p,1932.5763,1620.0,2020-05-15,0.19249720953830543,69.0,2.0,33.3,34.15,33.724999999999994,312.57629999999995
